Name,Ratings,Reviews,Phone,Website,Address,Link
Pacific Catch,4.5,1001,+1 415-440-1950,pacificcatch.com,"2027 Chestnut St, San Francisco, CA 94123, United States",https://www.google.com/maps/place/Pacific+Catch/data=!4m7!3m6!1s0x808580d7481293a5:0x72e362536fe79765!8m2!3d37.8006102!4d-122.4366865!16s%2Fm%2F04fjlkc!19sChIJpZMSSNeAhYARZZfnb1Ni43I?authuser=0&hl=en&rclk=1
Surisan,4.5,1821,+1 415-771-8449,surisansf.com,"505 Beach St, San Francisco, CA 94133, United States",https://www.google.com/maps/place/Surisan/data=!4m7!3m6!1s0x808580e3ef0f755d:0xcff30a7ad296edbf!8m2!3d37.8067911!4d-122.417499!16s%2Fg%2F11ddxtyxbp!19sChIJXXUP7-OAhYARv-2W0noK888?authuser=0&hl=en&rclk=1
Blind Butcher,4.3,337,+1 415-529-2478,blindbutcher.com,"4058 18th St A, San Francisco, CA 94114, United States",https://www.google.com/maps/place/Blind+Butcher/data=!4m7!3m6!1s0x808f7f1f60abe1d9:0x231a9b0031316d43!8m2!3d37.7611311!4d-122.4341746!16s%2Fg%2F11h1hr_1p0!19sChIJ2eGrYB9_j4ARQ20xMQCbGiM?authuser=0&hl=en&rclk=1
Zuni Café,4.4,2298,+1 415-552-2522,zunicafe.com,"1658 Market St, San Francisco, CA 94102, United States",https://www.google.com/maps/place/Zuni+Caf%C3%A9/data=!4m7!3m6!1s0x8085809fabbdbb3b:0x9f78fd6bc9972489!8m2!3d37.7736!4d-122.421608!16s%2Fm%2F01zpfx5!19sChIJO7u9q5-AhYARiSSXyWv9eJ8?authuser=0&hl=en&rclk=1
Fog City,4.3,1282,+1 415-982-2000,fogcitysf.com,"1300 Battery St, San Francisco, CA 94111, United States",https://www.google.com/maps/place/Fog+City/data=!4m7!3m6!1s0x808580f62c132361:0xbd32b29e94839015!8m2!3d37.8035212!4d-122.4018398!16zL20vMGRrMjhq!19sChIJYSMTLPaAhYARFZCDlJ6yMr0?authuser=0&hl=en&rclk=1
Cesario's,4.2,1018,+1 415-441-9898,italiansf.com,"601 Sutter St, San Francisco, CA 94102, United States",https://www.google.com/maps/place/Cesario%27s/data=!4m7!3m6!1s0x8085808e7e924623:0x964ecf9b3148604!8m2!3d37.7888656!4d-122.4105218!16s%2Fm%2F04fhxf1!19sChIJI0aSfo6AhYARBIYUs_nsZAk?authuser=0&hl=en&rclk=1
The Stinking Rose,4.2,4147,+1 415-781-7673,thestinkingrose.com,"430 Columbus Ave, San Francisco, CA 94133, United States",https://www.google.com/maps/place/The+Stinking+Rose/data=!4m7!3m6!1s0x808580f38b929d5b:0xf78790e8d70230fa!8m2!3d37.7991021!4d-122.4081675!16s%2Fg%2F1jkxkky_k!19sChIJW52Si_OAhYAR-jAC1-iQh_c?authuser=0&hl=en&rclk=1
Nightbird,4.6,207,+1 415-829-7565,nightbirdrestaurant.com,"330 Gough St, San Francisco, CA 94102, United States",https://www.google.com/maps/place/Nightbird/data=!4m7!3m6!1s0x80858098b84f37cb:0x61448606471aba68!8m2!3d37.7765173!4d-122.4227968!16s%2Fg%2F11cmxz0mgr!19sChIJyzdPuJiAhYARaLoaRwaGRGE?authuser=0&hl=en&rclk=1
Betty Lou's Seafood & Grill,4.6,1068,+1 415-757-0569,bettyloussf.com,"318 Columbus Ave, San Francisco, CA 94133, United States",https://www.google.com/maps/place/Betty+Lou%27s+Seafood+%26+Grill/data=!4m7!3m6!1s0x808580f475c473ed:0x17b65039e88b4ca6!8m2!3d37.7982457!4d-122.4070005!16s%2Fg%2F11c2kjsn8v!19sChIJ7XPEdfSAhYARpkyL6DlQthc?authuser=0&hl=en&rclk=1
Wayfare Tavern,4.5,2603,+1 415-772-9060,wayfaretavern.com,"558 Sacramento St, San Francisco, CA 94111, United States",https://www.google.com/maps/place/Wayfare+Tavern/data=!4m7!3m6!1s0x8085808a62f79413:0x3754c526852815b7!8m2!3d37.7939998!4d-122.4023375!16s%2Fg%2F1tzgpfsc!19sChIJE5T3YoqAhYARtxUohSbFVDc?authuser=0&hl=en&rclk=1
Lapisara Eatery,4.7,1607,+1 415-655-3556,lapisaraeatery.com,"698 Post St, San Francisco, CA 94109, United States",https://www.google.com/maps/place/Lapisara+Eatery/data=!4m7!3m6!1s0x80858091fb73739f:0x8811b346b81e0fe2!8m2!3d37.7878492!4d-122.4132306!16s%2Fg%2F11gggstm0l!19sChIJn3Nz-5GAhYAR4g8euEazEYg?authuser=0&hl=en&rclk=1
Absinthe Brasserie & Bar,4.4,1693,+1 415-551-1590,absinthe.com,"398 Hayes St, San Francisco, CA 94102, United States",https://www.google.com/maps/place/Absinthe+Brasserie+%26+Bar/data=!4m7!3m6!1s0x8085809895883fd5:0x592c2acea68c6fe6!8m2!3d37.7771042!4d-122.4227403!16s%2Fg%2F1tgnrx1c!19sChIJ1T-IlZiAhYAR5m-Mps4qLFk?authuser=0&hl=en&rclk=1
Luisa's Restaurant Wine Bar Since 1959,4.6,897,+1 415-872-9638,luisasrestaurantwinebarsince1959.com,"759 Columbus Ave, San Francisco, CA 94133, United States",https://www.google.com/maps/place/Luisa%27s+Restaurant+Wine+Bar+Since+1959/data=!4m7!3m6!1s0x808581157876a4a7:0xab1c8e06771ee36a!8m2!3d37.8016259!4d-122.4123484!16s%2Fg%2F11hdqw1fqy!19sChIJp6R2eBWBhYARauMedwaOHKs?authuser=0&hl=en&rclk=1
The Bite,4.7,616,+1 415-757-0414,thebitesf.com,"996 Mission St, San Francisco, CA 94103, United States",https://www.google.com/maps/place/The+Bite/data=!4m7!3m6!1s0x808581989d29813b:0x12afb7f6a9632a72!8m2!3d37.7812916!4d-122.4085956!16s%2Fg%2F11q2xl945f!19sChIJO4EpnZiBhYARcipjqfa3rxI?authuser=0&hl=en&rclk=1
AltoVino,4.7,330,+1 415-529-2435,altovinosf.com,"1358 Mason St, San Francisco, CA 94133, United States",https://www.google.com/maps/place/AltoVino/data=!4m7!3m6!1s0x808580f261344b09:0xec63b1becc456347!8m2!3d37.7962024!4d-122.4114906!16s%2Fg%2F11f3y3bfkd!19sChIJCUs0YfKAhYARR2NFzL6xY-w?authuser=0&hl=en&rclk=1
Camino Alto,4.7,287,+1 415-441-2111,caminoaltosf.com,"1715 Union St, San Francisco, CA 94123, United States",https://www.google.com/maps/place/Camino+Alto/data=!4m7!3m6!1s0x80858130c7d03995:0x18db8556f5432d05!8m2!3d37.7979929!4d-122.427621!16s%2Fg%2F11sgdt86kj!19sChIJlTnQxzCBhYARBS1D9VaF2xg?authuser=0&hl=en&rclk=1
Bistro Central Parc Restaurant,4.5,409,+1 415-525-3064,bistrocentralparcsf.com,"560 Central Ave, San Francisco, CA 94117, United States",https://www.google.com/maps/place/Bistro+Central+Parc+Restaurant/data=!4m7!3m6!1s0x808580b28d70f7f1:0x8b18611019cdb547!8m2!3d37.7750282!4d-122.4443817!16s%2Fg%2F1tnpl6w8!19sChIJ8fdwjbKAhYARR7XNGRBhGIs?authuser=0&hl=en&rclk=1
Roka Akor - San Francisco,4.6,1219,+1 415-362-8887,rokaakor.com,"801 Montgomery St, San Francisco, CA 94133, United States",https://www.google.com/maps/place/Roka+Akor+-+San+Francisco/data=!4m7!3m6!1s0x808581281ce6ce4b:0xbe12a60aff36f188!8m2!3d37.7964701!4d-122.4037235!16s%2Fg%2F11h89k53xg!19sChIJS87mHCiBhYARiPE2_wqmEr4?authuser=0&hl=en&rclk=1
Aliment,4.3,692,+1 415-829-2737,alimentsf.com,"786 Bush St, San Francisco, CA 94108, United States",https://www.google.com/maps/place/Aliment/data=!4m7!3m6!1s0x8085808dcbf12087:0x6bf7d35641b323f1!8m2!3d37.7901405!4d-122.4102139!16s%2Fg%2F11bbw_cmjp!19sChIJhyDxy42AhYAR8SOzQVbT92s?authuser=0&hl=en&rclk=1
Bix,4.5,1111,+1 415-433-6300,bixrestaurant.com,"56 Gold St, San Francisco, CA 94133, United States",https://www.google.com/maps/place/Bix/data=!4m7!3m6!1s0x808580f538199d0d:0xcba0a2e0fa5d9191!8m2!3d37.7968712!4d-122.4029298!16s%2Fg%2F1th87bxw!19sChIJDZ0ZOPWAhYARkZFd-uCioMs?authuser=0&hl=en&rclk=1
Nopalito,4.3,1899,+1 415-437-0303,nopalitosf.com,"306 Broderick St, San Francisco, CA 94117, United States",https://www.google.com/maps/place/Nopalito/data=!4m7!3m6!1s0x808580ae587adc59:0xe6e386ac00f01272!8m2!3d37.7732851!4d-122.4389738!16s%2Fg%2F1tcx_1cb!19sChIJWdx6WK6AhYARchLwAKyG4-Y?authuser=0&hl=en&rclk=1
California Fish Market Restaurant,4.5,340,+1 415-757-0918,cafishmarketrestaurant.com,"550 Green St, San Francisco, CA 94133, United States",https://www.google.com/maps/place/California+Fish+Market+Restaurant/data=!4m7!3m6!1s0x808581e7a2b9d85d:0x3c8c2415e7383206!8m2!3d37.7997293!4d-122.4082929!16s%2Fg%2F11jbcwght7!19sChIJXdi5oueBhYARBjI45xUkjDw?authuser=0&hl=en&rclk=1
